City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,ust-kut,56.7938,105.7672,25.21,94,100,4.7,RU,1677887152
153,oktyabrskiy,54.4815,53.471,26.28,91,93,13.67,RU,1677887153
154,tilichiki,60.4667,166.1,-8.54,89,100,12.17,RU,1677887154
155,constitucion,-35.3333,-72.4167,60.12,84,14,12.17,CL,1677887155
156,ust-koksa,50.2696,85.6108,16.59,94,87,3.13,RU,1677887156
157,wuwei,37.9281,102.6414,36.97,23,0,2.26,CN,1677887157
158,maarianhamina,60.0973,19.9348,33.82,64,100,24.16,AX,1677887158
159,savannah bight,16.45,-85.85,80.19,80,57,34.31,HN,1677887159
160,gat,31.61,34.7642,60.4,68,32,1.86,IL,1677887160
161,yeniseysk,58.4497,92.1703,20.43,92,100,7.45,RU,1677887162
162,mubarakpur,26.09,83.2922,66.85,38,0,8.37,IN,1677887164
163,minab,27.1467,57.0801,70.12,88,15,3.44,IR,1677887165
164,sumenep,-7.0167,113.8667,78.84,86,93,3.24,ID,1677887166
165,meulaboh,4.1363,96.1285,74.23,88,98,2.64,ID,1677887167
166,saint-ambroise,48.5501,-71.3324,13.6,44,3,2.3,CA,1677887168
167,sola,-13.8833,167.55,82.15,80,100,26.62,VU,1677887169
168,carutapera,-1.195,-46.02,76.01,94,100,8.01,BR,1677887170
169,baykit,61.67,96.37,2.25,100,100,0.38,RU,1677887171
170,isangel,-19.55,169.2667,79.88,93,100,30.62,VU,1677887172
171,finschhafen,-6.6024,147.8681,84.42,70,100,1.25,PG,1677887174
172,saldanha,-33.0117,17.9442,62.65,92,6,10.65,ZA,1677887175
173,kawasaki,35.5206,139.7172,52.25,55,20,11.5,JP,1677886963
174,salinas,36.6777,-121.6555,60.49,72,0,13.8,US,1677887133
175,coquimbo,-29.9533,-71.3436,65.93,77,0,9.22,CL,1677887081
176,sao filipe,14.8961,-24.4956,74.19,58,80,10.04,CV,1677887178
177,bengkulu,-3.8004,102.2655,73.81,91,100,3.36,ID,1677887179
178,havoysund,70.9963,24.6622,32.23,54,100,17.69,NO,1677887180
179,sechura,-5.5569,-80.8222,79.63,67,41,13.73,PE,1677887181
180,westport,41.1415,-73.3579,40.98,68,100,10.36,US,1677887134
181,twin falls,42.3505,-114.6445,34.14,48,100,14.97,US,1677887184
182,lasa,46.6166,10.7002,40.08,90,70,4.43,IT,1677887185
183,dingle,10.9995,122.6711,75.78,86,98,11.7,PH,1677887186
184,fukue,32.6881,128.8419,44.96,87,75,1.14,JP,1677887187
185,husavik,66.0449,-17.3389,29.68,86,94,11.1,IS,1677887188
186,presov,49.1667,21.25,29.37,87,60,1.39,SK,1677887189
187,el alto,-4.2714,-81.2147,80.26,74,66,8.37,PE,1677887190
188,carnarvon,-24.8667,113.6333,80.17,71,3,15.28,AU,1677887191
189,vuktyl,63.8567,57.3094,1.51,98,99,4.99,RU,1677887192
190,maningrida,-12.0667,134.2667,81.73,75,100,14.83,AU,1677887193
191,krasnoselkup,65.7,82.4667,-7.26,97,92,12.62,RU,1677887194
192,zolotukhino,52.0842,36.3772,32.07,96,100,10.67,RU,1677887195
193,pisco,-13.7,-76.2167,75.25,73,0,17.27,PE,1677887112
194,alofi,-19.0595,-169.9187,82.29,89,75,5.75,NU,1677887197
195,broken hill,-31.95,141.4333,78.49,29,6,7.99,AU,1677887198
196,rawson,-43.3002,-65.1023,60.8,44,48,4.36,AR,1677887201
197,bandarbeyla,9.4942,50.8122,76.59,71,20,13.38,SO,1677887202
198,college,64.8569,-147.8028,3.58,69,100,12.66,US,1677887203
199,launceston,-41.45,147.1667,68.14,52,43,10.36,AU,1677887204
200,san quintin,30.4833,-115.95,56.97,62,7,14.12,MX,1677887205
201,kalevala,65.2,31.1667,22.84,97,100,3.6,RU,1677887205
202,pointe michel,15.25,-61.3833,75.49,71,4,12.17,DM,1677887206
203,salaga,8.5508,-0.5188,86.54,49,32,10.0,GH,1677887207
204,zyukayka,58.2025,54.7003,13.55,96,99,5.99,RU,1677887208
205,miracema do tocantins,-9.5618,-48.3967,77.2,78,98,2.73,BR,1677887209
206,surt,31.2089,16.5887,62.49,82,99,13.31,LY,1677887210
207,yar-sale,66.8333,70.8333,0.1,97,99,8.08,RU,1677887211
208,loikaw,19.6742,97.2094,60.89,37,1,2.01,MM,1677887212
209,srednekolymsk,67.45,153.6833,-24.66,89,49,2.37,RU,1677887214
210,leiyang,26.4024,112.8591,51.98,90,5,2.15,CN,1677887215
211,osypenko,46.9136,36.8253,35.94,81,91,9.98,UA,1677887216
212,shaunavon,49.6501,-108.4181,22.78,88,92,6.58,CA,1677887028
213,abha,18.2164,42.5053,55.65,67,0,0.0,SA,1677887217
214,dauphin,51.1494,-100.0502,32.14,69,0,19.57,CA,1677887218
215,hasaki,35.7333,140.8333,52.21,73,73,9.91,JP,1677887219
216,bud,39.447,-86.1758,44.62,97,100,24.36,US,1677887220
217,marawi,7.9986,124.2928,70.65,84,35,3.91,PH,1677887221
218,grand gaube,-20.0064,57.6608,77.38,83,94,1.01,MU,1677887222
219,maua,-23.6678,-46.4614,73.69,92,76,1.05,BR,1677887224
220,wasilla,61.5814,-149.4394,20.62,47,100,11.5,US,1677886979
221,charters towers,-20.1,146.2667,74.48,83,100,10.71,AU,1677887226
222,ucluelet,48.9329,-125.5528,37.71,92,100,6.35,CA,1677887227
223,olinda,-8.0089,-34.8553,82.13,57,20,9.22,BR,1677887086
224,galveston,29.3669,-94.9669,73.51,40,0,10.36,US,1677887230
225,bethlehem,-1.4558,-48.5044,77.04,94,75,4.61,BR,1677887096
226,churapcha,62.0025,132.4325,-2.97,98,100,11.63,RU,1677887234
227,cacapava do sul,-30.5122,-53.4914,65.08,98,99,4.47,BR,1677887235
228,asyut,27.181,31.1837,62.78,22,0,4.23,EG,1677887236
229,emerald,-23.5333,148.1667,79.34,67,99,9.28,AU,1677887237
230,cullman,34.1748,-86.8436,66.85,48,75,8.05,US,1677886811
231,kutum,14.2,24.6667,68.41,15,19,10.18,SD,1677887238
232,jalu,29.0331,21.5482,65.39,24,0,11.41,LY,1677887239
233,tigil,57.8,158.6667,-11.52,94,99,3.65,RU,1677887240
234,sitka,57.0531,-135.33,37.29,60,100,8.05,US,1677887241
235,birin,26.8865,88.0718,53.67,56,7,4.29,NP,1677887243
236,riyadh,24.6877,46.7219,68.14,27,0,9.55,SA,1677886973
237,dunedin,-45.8742,170.5036,58.8,65,100,5.99,NZ,1677887245
238,florianopolis,-27.6146,-48.5012,76.23,88,75,9.22,BR,1677887246
239,sao joao da barra,-21.6403,-41.0511,78.89,86,42,19.08,BR,1677887248
